scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2021-02-26T14:05Z,-22.839922,-46.102671,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-07-08T04:24,-26.156265,-51.554519,Paraná,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-08-12T16:53:02,-21.394312,-48.509182,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-08-07T16:59,-19.466971,-56.836267,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-08-12T16:49,-21.203068,-48.590362,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-10-11T15:36,-23.087146,-48.51275,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-11-06T22:03,-21.954554,-47.997922,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2021-11-19T17:02:03,-26.816027,-48.650073,Santa Catarina,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2021-11-20T17:50,-20.14621,-48.453511,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2021-12-28T11:19,-21.772995,-46.086792,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
