scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa domesticus Linnaeus, 1758",2024-01-01T12:23:44,-14.495454,-42.224408,Bahia,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-01-03T07:23,-19.166831,-49.404206,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-02-10T18:42,-19.858089,-48.895042,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-03-14T16:57:24,-22.36087,-48.758328,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-04-14T08:16:40,-22.411511,-47.528128,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-04-01T12:14,-29.107664,-50.076582,Rio Grande do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-05-15,-29.22935,-53.682702,Rio Grande do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-06-04T06:56:03,-16.800219,-56.954353,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-07-03T14:11:45,-0.625917,-48.48517,Pará,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-07-21T17:42,-17.98751,-45.409827,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-08-08T12:18:31,-16.537185,-56.71956,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-08-28T03:47,-20.471832,-48.656741,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-09-08T16:36:18,-20.098376,-56.015635,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-09-22T21:25,-2.485938,-43.128407,Maranhão,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-10-27T15:29:56,-19.574092,-56.081981,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-10-12T17:40,-21.141879,-48.191883,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-10-08T17:13,-20.108173,-55.925649,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-10-07T18:57,-20.095461,-55.965622,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-11-09T22:41,-6.546198,-45.132702,Maranhão,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2024-11-09T12:52:32,-21.951703,-47.463322,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2024-12-12T10:02,-3.135041,-58.438531,Amazonas,Brazil,HUMAN_OBSERVATION,iNaturalist
