scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2022-01-07T15:53,-29.583884,-50.316612,Rio Grande do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2022-01-15T08:40,-21.566913,-49.858005,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2022-05-01T13:25,-2.858614,-43.865355,Maranhão,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2022-05-01,-22.886636,-46.975598,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2022-06-26T07:35,-20.110928,-55.98074,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2022-06-27T13:36,-20.439847,-55.785999,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2022-08-07T08:22,-22.180144,-47.649965,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2022-09-16T11:08,-28.875501,-50.978515,Rio Grande do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2022-09-24T11:17:16,-21.257004,-48.479092,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2022-12-03T11:08:06,-19.250775,-57.068622,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
