scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2014-05-22T23:53,-19.841636,-56.812379,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2014-06-02T09:03,-17.655786,-57.432597,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
