scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2020-01-21,-21.5547,-54.1413,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2020-03-28T00:40,-18.017912,-46.071856,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2020-03-11,-20.526905,-55.589467,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2020-05-05T18:13,-21.086776,-48.194193,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2020-08-31T16:38,-21.780075,-54.960183,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2020-10-17T15:12,-22.851097,-46.066528,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
