scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2015-02-21T07:45,-21.923412,-46.388615,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2015-07-31T12:26:20,-23.716976,-47.41423,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2015-08-21T17:50,-20.095665,-55.96487,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2015-08-10T00:00,-20.102545,-56.00732,,Brazil,HUMAN_OBSERVATION,NABU|naturgucker
"Sus scrofa Linnaeus, 1758",2015-08-15T00:00,-19.48122,-56.917564,,Brazil,HUMAN_OBSERVATION,NABU|naturgucker
"Sus scrofa Linnaeus, 1758",2015-08-11T00:00,-20.113111,-55.966805,,Brazil,HUMAN_OBSERVATION,NABU|naturgucker
"Sus scrofa Linnaeus, 1758",2015-08-12T00:00,-20.112715,-55.967098,,Brazil,HUMAN_OBSERVATION,NABU|naturgucker
"Sus scrofa Linnaeus, 1758",2015-10-10T19:06,-18.996523,-50.548076,Goiás,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2015-10-10,-18.966608,-50.550459,,Brazil,HUMAN_OBSERVATION,
"Sus scrofa Linnaeus, 1758",2015-10-10,-18.967087,-50.550695,,Brazil,HUMAN_OBSERVATION,
"Sus scrofa Linnaeus, 1758",2015-12-12,-18.966617,-50.550468,,Brazil,HUMAN_OBSERVATION,
