scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2019-02-18,-21.5917,-54.014,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2019-04-03,-21.6053,-53.797,,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2019-05-20T11:40,-19.75,-55.216667,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2019-07-27T05:01,-16.512083,-56.711559,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2019-08-05T05:42,-19.25935,-55.787847,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2019-12-17,-20.2736,-56.3232,,Brazil,HUMAN_OBSERVATION,CIBIO
