scientificName,eventDate,decimalLatitude,decimalLongitude,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2017-07-25,-21.5859,-53.9131,Brazil,HUMAN_OBSERVATION,CIBIO
"Sus scrofa Linnaeus, 1758",2017-11-07,-20.5404,-55.4419,Brazil,HUMAN_OBSERVATION,CIBIO
