scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2016-08-19,-18.967087,-50.550695,,Brazil,HUMAN_OBSERVATION,
"Sus scrofa Linnaeus, 1758",2016-09-06T04:29:20,-17.675059,-57.427969,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2016-09-06T04:38:34,-17.675059,-57.427969,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2016-09-08T00:00,-19.588499,-56.087017,,Brazil,HUMAN_OBSERVATION,NABU|naturgucker
"Sus scrofa domesticus Linnaeus, 1758",2016-11-10,-16.275011,-55.799172,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
